taxonomy_id	species	genus	family	order	class	phylum	kingdom
83332	Mycobacterium tuberculosis H37Rv	Mycobacterium	Mycobacteriaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Bacteria
565042	Bifidobacterium longum subsp. longum JCM 1217	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinomycetes	Actinomycetota	Bacteria
227882	Streptomyces avermitilis MA-4680 = NBRC 14893	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacteria
405948	Saccharopolyspora erythraea NRRL 2338	Saccharopolyspora	Pseudonocardiaceae	Pseudonocardiales	Actinomycetes	Actinomycetota	Bacteria
557599	Mycobacterium kansasii ATCC 12478	Mycobacterium	Mycobacteriaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Bacteria
1460372	Mycobacteroides chelonae CCUG 47445	Mycobacteroides	Mycobacteriaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Bacteria
1410605	Bifidobacterium pseudolongum subsp. globosum DSM 20092	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinomycetes	Actinomycetota	Bacteria
512565	Actinoplanes missouriensis 431	Actinoplanes	Micromonosporaceae	Micromonosporales	Actinomycetes	Actinomycetota	Bacteria
1265868	Streptomyces rimosus subsp. rimosus ATCC 10970	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacteria
1319510	Streptomyces fradiae ATCC 10745 = DSM 40063	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacteria
645127	Corynebacterium kroppenstedtii DSM 44385	Corynebacterium	Corynebacteriaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Bacteria
566552	Bifidobacterium catenulatum DSM 16992 = JCM 1194 = LMG 11043	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinomycetes	Actinomycetota	Bacteria
1705	Corynebacterium stationis	Corynebacterium	Corynebacteriaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Bacteria
2014	Nocardiopsis dassonvillei	Nocardiopsis	Nocardiopsaceae	Streptosporangiales	Actinomycetes	Actinomycetota	Bacteria
35621	Streptomyces mobaraensis	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacteria
1784	Mycobacterium simiae	Mycobacterium	Mycobacteriaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Bacteria
1038929	Streptomyces xinghaiensis S187	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacteria
644283	Micromonospora aurantiaca ATCC 27029	Micromonospora	Micromonosporaceae	Micromonosporales	Actinomycetes	Actinomycetota	Bacteria
1136880	Mycobacterium pseudoshottsii JCM 15466	Mycobacterium	Mycobacteriaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Bacteria
1384484	Adlercreutzia equolifaciens DSM 19450	Adlercreutzia	Eggerthellaceae	Eggerthellales	Coriobacteriia	Actinomycetota	Bacteria
1389489	Leifsonia xyli subsp. cynodontis DSM 46306	Leifsonia	Microbacteriaceae	Micrococcales	Actinomycetes	Actinomycetota	Bacteria
106370	Frankia casuarinae	Frankia	Frankiaceae	Frankiales	Actinomycetes	Actinomycetota	Bacteria
446860	Kocuria flava	Kocuria	Micrococcaceae	Micrococcales	Actinomycetes	Actinomycetota	Bacteria
37928	Arthrobacter crystallopoietes	Arthrobacter	Micrococcaceae	Micrococcales	Actinomycetes	Actinomycetota	Bacteria
